pos_element	neg_element	POS	pos_key	neg_key	pos_definition	neg_definition	reversed_ann1	affixal/non-affixal_ann1	negative affix_ann1	positive affix_ann1	direct/indirect_ann1	subtype_ann1	reversed_ann2	affixal/non-affixal_ann2	negative affix_ann2	positive affix_ann2	direct/indirect_ann2	subtype_ann2
discolor	color	v	discolor%2:30:01::	color%2:30:00::	lose color or turn colorless	add color to	yes	affixal	dis-	_	indirect	ROA	_	_	_	_	_	_
disembark	embark	v	disembark%2:38:00::	embark%2:38:00::	go ashore	go on board	_	_	_	_	_	_	yes	affixal	dis-	_	indirect	ROA
disenfranchise	enfranchise	v	disenfranchise%2:41:00::	enfranchise%2:41:00::	deprive of voting rights	grant voting rights	yes	affixal	dis-	_	indirect	ROA	_	_	_	_	_	_
disintegrate	integrate	v	disintegrate%2:30:00::	integrate%2:30:00::	break into parts or components or lose cohesion or unity	make into a whole or make part of a whole	yes	affixal	dis-	_	indirect	ROA	_	_	_	_	_	_
dislike	like	v	dislike%2:37:00::	like%2:37:05::	have or feel a dislike or distaste for	find enjoyable or agreeable	_	_	_	_	_	_	no	affixal	dis-	_	indirect	ROA
disparage	flatter	v	disparage%2:32:00::	flatter%2:32:00::	express a negative opinion of	praise somewhat dishonestly	no	non-affixal	_	_	_	_	_	_	_	_	_	_
dispose	indispose	v	dispose%2:31:00::	indispose%2:31:00::	make receptive or willing towards an action or attitude or belief	make unwilling	no	affixal	in-	_	indirect	ROA	_	_	_	_	_	_
diverge	converge	v	diverge%2:42:02::	converge%2:42:00::	have no limits as a mathematical series	be adjacent or come together	yes	affixal	di-	con-	indirect	ROD	_	_	_	_	_	_
diversify	specialise	v	diversify%2:30:00::	specialise%2:30:00::	vary in order to spread risk or to expand	become more focus on an area of activity or field of study	_	_	_	_	_	_	no	non-affixal	_	_	_	_
diversify	specialize	v	diversify%2:30:00::	specialize%2:30:00::	vary in order to spread risk or to expand	become more focus on an area of activity or field of study	no	non-affixal	_	_	_	_	_	_	_	_	_	_
divide	unite	v	divide%2:41:00::	unite%2:41:00::	separate into parts or portions	act in concert or unite in a common purpose or belief	no	non-affixal	_	_	_	_	_	_	_	_	_	_
dock	undock	v	dock%2:38:00::	undock%2:38:00::	come into dock	move out of a dock	_	_	_	_	_	_	no	affixal	un-	_	direct	_
downgrade	upgrade	v	downgrade%2:31:00::	upgrade%2:31:00::	rate lower; lower in value or esteem	rate higher; raise in value or esteem	yes	affixal	down-	up-	indirect	ROD	_	_	_	_	_	_
download	upload	v	download%2:40:00::	upload%2:40:00::	transfer a file or program from a central computer to a smaller computer or to a computer at a remote location	transfer a file or program to a central computer from a smaller computer or a computer at a remote location	_	_	_	_	_	_	no	non-affixal	_	_	_	_
dress	undress	v	dress%2:29:01::	undress%2:29:00::	provide with clothes or put clothes on	get undressed	no	affixal	un-	_	indirect	ROA	_	_	_	_	_	_
dress_up	dress_down	v	dress_up%2:29:00::	dress_down%2:29:00::	put on special clothes to appear particularly appealing and attractive	dress informally and casually	_	_	_	_	_	_	no	non-affixal	_	_	_	_
dull	sharpen	v	dull%2:35:02::	sharpen%2:35:00::	make dull or blunt	make sharp or sharper	_	_	_	_	_	_	no	non-affixal	_	_	_	_
eat_in	eat_out	v	eat_in%2:34:00::	eat_out%2:34:00::	eat at home	eat at a restaurant or at somebody else's home	_	_	_	_	_	_	no	non-affixal	_	_	_	_
elate	depress	v	elate%2:37:00::	depress%2:37:00::	fill with high spirits; fill with optimism	lower someone's spirits; make downhearted	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
empty	fill	v	empty%2:30:01::	fill%2:30:01::	make void or empty of contents	make full, also in a metaphorical sense	no	non-affixal	_	_	_	_	_	_	_	_	_	_
emulsify	demulsify	v	emulsify%2:30:01::	demulsify%2:30:01::	cause to become an emulsion; make into an emulsion	cause to demulsify	no	affixal	de-	_	indirect	ROA	_	_	_	_	_	_
enchant	disenchant	v	enchant%2:37:00::	disenchant%2:37:00::	hold spellbound	free from enchantment	no	affixal	dis-	_	indirect	REM	_	_	_	_	_	_
encode	decode	v	encode%2:32:00::	decode%2:32:00::	convert information into code	convert code into ordinary language	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
encourage	discourage	v	encourage%2:37:00::	discourage%2:37:00::	inspire with confidence; give hope or courage to	deprive of courage or hope; take away hope from; cause to feel discouraged	_	_	_	_	_	_	no	affixal	dis-	_	indirect	ROA
energise	de-energise	v	energise%2:29:00::	de-energise%2:29:00::	cause to be alert and energetic	deprive of energy	no	affixal	de-	_	indirect	REM	_	_	_	_	_	_
energize	de-energize	v	energize%2:29:00::	de-energize%2:29:00::	cause to be alert and energetic	deprive of energy	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
enforce	exempt	v	enforce%2:41:00::	exempt%2:41:00::	ensure observance of laws and rules; 	grant relief or an exemption from a rule or requirement to	_	_	_	_	_	_	no	non-affixal	_	_	_	_
engage	disengage	v	engage%2:35:00::	disengage%2:35:00::	keep engaged	release from something that holds fast, connects, or entangles	_	_	_	_	_	_	no	affixal	dis-	_	indirect	ROA
enlist	discharge	v	enlist%2:33:01::	discharge%2:33:00::	engage somebody to enter the army	release from military service	_	_	_	_	_	_	no	affixal	dis-	_	indirect	ROA
enrich	deprive	v	enrich%2:30:00::	deprive%2:30:00::	make better or improve in quality	take away	_	_	_	_	_	_	no	non-affixal	_	_	_	_
entangle	disentangle	v	entangle%2:35:00::	disentangle%2:35:00::	twist together or entwine into a confusing mass	extricate from entanglement	_	_	_	_	_	_	no	affixal	dis-	_	indirect	ROA
enter	drop_out	v	enter%2:33:00::	drop_out%2:33:00::	become a participant; be involved in	give up in the face of defeat of lacking hope; admit defeat	no	non-affixal	_	_	_	_	_	_	_	_	_	_
enthrone	dethrone	v	enthrone%2:41:00::	dethrone%2:41:00::	put a monarch on the throne	remove a monarch from the throne	no	affixal	de-	en-	indirect	ROA	no	affixal	de-	_	indirect	ROA
equal	differ	v	equal%2:42:00::	differ%2:42:00::	be identical or equivalent to	be different	no	non-affixal	_	_	_	_	_	_	_	_	_	_
escalate	de-escalate	v	escalate%2:30:00::	de-escalate%2:30:00::	increase in extent or intensity	reduce the level or intensity or size or scope of	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
establish	abolish	v	establish%2:41:00::	abolish%2:41:00::	set up or found	do away with	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
esteem	disesteem	v	esteem%2:31:01::	disesteem%2:31:00::	regard highly; think much of	have little or no respect for; hold in contempt	no	affixal	dis-	_	direct	_	_	_	_	_	_	_
exclude	admit	v	exclude%2:41:00::	admit%2:41:00::	prevent from entering; shut out	allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of	_	_	_	_	_	_	no	non-affixal	_	_	_	_
exclude	include	v	exclude%2:42:00::	include%2:42:00::	lack or fail to include	have as a part, be made up out of	_	_	_	_	_	_	no	affixal	ex-	_	direct	_
excommunicate	communicate	v	excommunicate%2:32:00::	communicate%2:32:08::	exclude from a church or a religious community	administer Communion; in church	yes	affixal	ex-	_	indirect	REM	_	_	_	_	_	_
exhale	inhale	v	exhale%2:29:00::	inhale%2:29:00::	expel air	draw in (air)	_	_	_	_	_	_	no	non-affixal	_	_	_	_
exit	enter	v	exit%2:38:00::	enter%2:38:00::	move out of or depart from	to come or go into	no	non-affixal	_	_	_	_	_	_	_	_	_	_
expatriate	repatriate	v	expatriate%2:41:00::	repatriate%2:41:00::	expel from a country	admit back into the country	_	_	_	_	_	_	no	non-affixal	_	_	_	_
export	import	v	export%2:40:00::	import%2:40:00::	sell or transfer abroad	bring in from abroad	no	non-affixal	_	_	_	_	no	affixal	im-	_	direct	_
fail	pass	v	fail%2:41:07::	pass%2:41:07::	judge unacceptable	accept or judge as acceptable	_	_	_	_	_	_	no	non-affixal	_	_	_	_
fall_asleep	wake_up	v	fall_asleep%2:29:00::	wake_up%2:29:00::	change from a waking to a sleeping state	stop sleeping	no	non-affixal	_	_	_	_	_	_	_	_	_	_
fall_short_of	satisfy	v	fall_short_of%2:42:00::	satisfy%2:42:00::	fail to satisfy, as of expectations, for example	meet the requirements or expectations of	no	non-affixal	_	_	_	_	_	_	_	_	_	_
fasten	unfasten	v	fasten%2:35:00::	unfasten%2:35:00::	become fixed or fastened	become undone or untied	_	_	_	_	_	_	no	affixal	un-	_	direct	_
feed	starve	v	feed%2:34:01::	starve%2:34:03::	give food to	deprive of food	_	_	_	_	_	_	no	non-affixal	_	_	_	_
file_in	file_out	v	file_in%2:38:00::	file_out%2:38:00::	enter by marching in a file	march out, in a file	no	non-affixal	_	_	_	_	_	_	_	_	_	_
find	lose	v	find%2:40:00::	lose%2:40:01::	come upon after searching; find the location of something that was missed or lost	miss from one's possessions; lose sight of	no	non-affixal	_	_	_	_	_	_	_	_	_	_
fire	hire	v	fire%2:41:00::	hire%2:41:00::	terminate the employment of; discharge from an office or position	engage or hire for work	no	non-affixal	_	_	_	_	_	_	_	_	_	_
float	sink	v	float%2:38:01::	sink%2:38:00::	be afloat either on or below a liquid surface and not sink to the bottom	"go under, ""The raft sank and its occupants drowned"""	_	_	_	_	_	_	no	non-affixal	_	_	_	_
fold	unfold	v	fold%2:35:00::	unfold%2:35:00::	bend or lay so that one part covers the other	spread out or open from a closed or folded state	no	affixal	un-	_	indirect	ROA	no	affixal	un-	_	direct	_
follow	precede	v	follow%2:38:00::	precede%2:38:00::	to travel behind, go after, come after	move ahead (of others) in time or space	no	non-affixal	_	_	_	_	_	_	_	_	_	_
forbid	permit	v	forbid%2:32:00::	permit%2:32:00::	command against	consent to, give permission	_	_	_	_	_	_	no	non-affixal	_	_	_	_
free	confine	v	free%2:41:00::	confine%2:41:00::	grant freedom to; free from confinement	deprive of freedom; take into confinement	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
free	obstruct	v	free%2:35:01::	obstruct%2:35:00::	free or remove obstruction from	block passage through	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
freeze	boil	v	freeze%2:30:00::	boil%2:30:01::	change to ice	come to the boiling point and change from a liquid to vapor	_	_	_	_	_	_	no	non-affixal	_	_	_	_
freeze	unfreeze	v	freeze%2:30:03::	unfreeze%2:30:01::	prohibit the conversion or use of (assets)	make (assets) available	no	affixal	un-	_	indirect	ROA	_	_	_	_	_	_
gain	fall_back	v	gain%2:33:00::	fall_back%2:33:00::	obtain advantages, such as points, etc.	retreat	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
get_off	get_on	v	get_off%2:38:02::	get_on%2:38:03::	leave a vehicle, aircraft, etc.	get on board of (trains, buses, ships, aircraft, etc.)	no	non-affixal	_	_	_	_	_	_	_	_	_	_
get_well	get_worse	v	get_well%2:30:00::	get_worse%2:30:00::	improve in health	deteriorate in health	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
give	take	v	give%2:40:00::	take%2:40:00::	transfer possession of something concrete or abstract to somebody	take into one's possession	_	_	_	_	_	_	no	non-affixal	_	_	_	_
gladden	sadden	v	gladden%2:37:01::	sadden%2:37:01::	make glad or happy	make unhappy	_	_	_	_	_	_	no	non-affixal	_	_	_	_
glycerolize	deglycerolize	v	glycerolize%2:38:00::	deglycerolize%2:38:00::	place in glycerol	remove from glycerol	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
go	come	v	go%2:38:01::	come%2:38:00::	move away from a place into another direction	move toward, travel toward something or somebody or approach something or somebody	_	_	_	_	_	_	no	non-affixal	_	_	_	_
go_on	go_off	v	go_on%2:35:00::	go_off%2:35:00::	start running, functioning, or operating	stop running, functioning, or operating	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
go_to_bed	get_up	v	go_to_bed%2:29:00::	get_up%2:29:00::	prepare for sleep	get up and out of bed	_	_	_	_	_	_	no	non-affixal	_	_	_	_
handwash	machine_wash	v	handwash%2:35:00::	machine_wash%2:35:00::	wash or launder by hand instead of with a machine	wash by machine	_	_	_	_	_	_	no	non-affixal	_	_	_	_
harness	unharness	v	harness%2:35:00::	unharness%2:35:00::	put a harness	remove the harness from	_	_	_	_	_	_	no	affixal	un-	_	direct	_
have	lack	v	have%2:42:00::	lack%2:42:00::	have as a feature	be without	no	non-affixal	_	_	_	_	_	_	_	_	_	_
hearten	dishearten	v	hearten%2:37:00::	dishearten%2:37:00::	give encouragement to	take away the enthusiasm of	no	affixal	dis-	_	indirect	REM	_	_	_	_	_	_
hibernate	aestivate	v	hibernate%2:29:00::	aestivate%2:29:00::	sleep during winter	sleep during summer	_	_	_	_	_	_	no	non-affixal	_	_	_	_
hibernate	estivate	v	hibernate%2:29:00::	estivate%2:29:00::	sleep during winter	sleep during summer	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
hit	miss	v	hit%2:35:01::	miss%2:35:00::	hit against; come into sudden contact with	fail to reach	_	_	_	_	_	_	no	non-affixal	_	_	_	_
hitch	unhitch	v	hitch%2:35:00::	unhitch%2:35:00::	to hook or entangle	unfasten or release from or as if from a hitch	no	affixal	un-	_	indirect	ROA	no	affixal	un-	_	direct	_
hold	let_go_of	v	hold%2:35:00::	let_go_of%2:35:00::	have or hold in one's hands or grip	release, as from one's grip	_	_	_	_	_	_	no	non-affixal	_	_	_	_
homogenise	curdle	v	homogenise%2:30:02::	curdle%2:30:00::	break up the fat globules of	turn into curds	_	_	_	_	_	_	no	non-affixal	_	_	_	_
homogenize	curdle	v	homogenize%2:30:02::	curdle%2:30:00::	break up the fat globules of	turn into curds	no	non-affixal	_	_	_	_	_	_	_	_	_	_
honor	dishonor	v	honor%2:41:00::	dishonor%2:41:00::	bestow honor or rewards upon	bring shame or dishonor upon	no	affixal	dis-	_	direct	_	_	_	_	_	_	_
hook	unhook	v	hook%2:35:00::	unhook%2:35:00::	fasten with a hook	take off a hook	_	_	_	_	_	_	no	affixal	un-	_	direct	_
hop_on	hop_out	v	hop_on%2:38:00::	hop_out%2:38:00::	get up on the back of	get out of quickly	no	non-affixal	_	_	_	_	_	_	_	_	_	_
hope	despair	v	hope%2:37:00::	despair%2:37:00::	be optimistic; be full of hope; have hopes	abandon hope; give up hope; lose heart	_	_	_	_	_	_	no	non-affixal	_	_	_	_
humidify	dehumidify	v	humidify%2:30:00::	dehumidify%2:30:00::	make (more) humid	make less humid	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
ignite	extinguish	v	ignite%2:43:00::	extinguish%2:43:00::	cause to start burning; subject to fire or great heat	put out, as of fires, flames, or lights	_	_	_	_	_	_	no	non-affixal	_	_	_	_
immigrate	emigrate	v	immigrate%2:30:00::	emigrate%2:30:00::	come into a new country and change residency	leave one's country of residence for a new one	no	affixal	im-	e-	indirect	ROD	_	_	_	_	_	_
implode	explode	v	implode%2:30:00::	explode%2:30:00::	burst inward	burst outward, usually with noise	no	affixal	im-	e-	indirect	ROD	_	_	_	_	_	_
impoverish	enrich	v	impoverish%2:40:00::	enrich%2:40:00::	make poor	make wealthy or richer	no	non-affixal	_	_	_	_	_	_	_	_	_	_
incarnate	disincarnate	v	incarnate%2:36:00::	disincarnate%2:36:00::	make concrete and real	make immaterial; remove the real essence of	_	_	_	_	_	_	no	affixal	dis-	_	indirect	ROA
indicate	contraindicate	v	indicate%2:32:04::	contraindicate%2:32:00::	suggest the necessity of an intervention; in medicine	make a treatment inadvisable	no	affixal	contra-	_	indirect	OPP	_	_	_	_	_	_
infect	disinfect	v	infect%2:29:00::	disinfect%2:29:00::	contaminate with a disease or microorganism	destroy microorganisms or pathogens by cleansing	no	affixal	dis-	_	indirect	ROA	_	_	_	_	_	_
inflate	deflate	v	inflate%2:30:11::	deflate%2:30:11::	cause prices to rise by increasing the available currency or credit	produce deflation in	no	affixal	de-	in-	indirect	ROD	_	_	_	_	_	_
inspan	outspan	v	inspan%2:35:00::	outspan%2:35:00::	attach a yoke or harness to	remove the yoke or harness from	_	_	_	_	_	_	no	affixal	out-	_	indirect	ROD
interest	bore	v	interest%2:37:00::	bore%2:37:00::	excite the curiosity of; engage the interest of	cause to be bored	_	_	_	_	_	_	no	non-affixal	_	_	_	_
invest	divest	v	invest%2:41:00::	divest%2:41:00::	provide with power and authority	deprive of status or authority	_	_	_	_	_	_	no	affixal	di-	_	indirect	OPP
iodinate	de-iodinate	v	iodinate%2:30:00::	de-iodinate%2:30:00::	cause to combine with iodine	remove iodine from	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
irritate	soothe	v	irritate%2:29:00::	soothe%2:29:00::	excite to an abnormal condition, or chafe or inflame	cause to feel better	_	_	_	_	_	_	no	non-affixal	_	_	_	_
issue	recall	v	issue%2:41:00::	recall%2:41:00::	circulate or distribute or equip with	make unavailable; bar from sale or distribution	_	_	_	_	_	_	no	non-affixal	_	_	_	_
join	disjoin	v	join%2:35:01::	disjoin%2:35:01::	cause to become joined or linked	make disjoint, separated, or disconnected; undo the joining of	no	affixal	dis-	_	indirect	ROA	_	_	_	_	_	_
keep	lose	v	keep%2:40:00::	lose%2:40:02::	retain possession of	fail to keep or to maintain; cease to have, either physically or in an abstract sense	_	_	_	_	_	_	no	non-affixal	_	_	_	_
keep_track	lose_track	v	keep_track%2:31:00::	lose_track%2:31:00::	keep informed of fully aware	fail to keep informed or aware	_	_	_	_	_	_	no	non-affixal	_	_	_	_
kern	kern	v	kern%2:40:00::	kern%2:40:01::	remove a portion of space between (adjacent letters)	furnish with a kern	_	_	_	_	_	_	no	non-affixal	_	_	_	_
know	ignore	v	know%2:31:01::	ignore%2:31:01::	be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about	be ignorant of or in the dark about	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
lash	unlash	v	lash%2:35:02::	unlash%2:35:00::	bind with a rope, chain, or cord	untie the lashing of	no	affixal	un-	_	indirect	ROA	_	_	_	_	_	_
laugh	cry	v	laugh%2:29:00::	cry%2:29:00::	produce laughter	shed tears because of sadness, rage, or pain	no	non-affixal	_	_	_	_	_	_	_	_	_	_
leave_office	take_office	v	leave_office%2:41:00::	take_office%2:41:00::	give up or retire from a position	assume an office, duty, or title	no	non-affixal	_	_	_	_	_	_	_	_	_	_
legalise	outlaw	v	legalise%2:41:00::	outlaw%2:41:00::	make legal	declare illegal; outlaw	no	non-affixal	_	_	_	_	no	affixal	out-	_	indirect	ROD
lend_oneself	defy	v	lend_oneself%2:42:00::	defy%2:42:01::	be applicable to; as to an analysis	elude, especially in a baffling way	no	non-affixal	_	_	_	_	_	_	_	_	_	_
let	prevent	v	let%2:41:00::	prevent%2:41:00::	make it possible through a specific action or lack of action for something to happen	stop (someone or something) from doing something or being in a certain state	no	non-affixal	_	_	_	_	_	_	_	_	_	_
let_out	take_in	v	let_out%2:30:00::	take_in%2:30:00::	make (clothes) larger	make (clothes) smaller	no	non-affixal	_	_	_	_	_	_	_	_	_	_
lighten	darken	v	lighten%2:30:02::	darken%2:30:00::	become lighter	become dark or darker	no	non-affixal	_	_	_	_	_	_	_	_	_	_
lighten	weigh_down	v	lighten%2:37:01::	weigh_down%2:37:00::	make more cheerful	be oppressive or disheartening to	_	_	_	_	_	_	no	non-affixal	_	_	_	_
linger	rush	v	linger%2:38:00::	rush%2:38:00::	take one's time; proceed slowly	move fast	_	_	_	_	_	_	no	non-affixal	_	_	_	_
literalize	spiritualize	v	literalize%2:31:00::	spiritualize%2:31:00::	make literal	give a spiritual meaning to; read in a spiritual sense	_	_	_	_	_	_	no	non-affixal	_	_	_	_
live_in	live_out	v	live_in%2:34:00::	live_out%2:34:00::	live in the house where one works	"work in a house where one does not live; he can easily commute from his home"""	no	non-affixal	_	_	_	_	_	_	_	_	_	_
lock	unlock	v	lock%2:35:00::	unlock%2:30:00::	fasten with a lock	become unlocked	no	affixal	un-	_	indirect	ROA	no	affixal	un-	_	direct	_
lodge	dislodge	v	lodge%2:35:00::	dislodge%2:35:00::	put, fix, force, or implant	remove or force out from a position	_	_	_	_	_	_	no	affixal	dis-	_	indirect	ROA
log_in	log_out	v	log_in%2:40:00::	log_out%2:40:00::	enter a computer	exit a computer	no	non-affixal	_	_	_	_	_	_	_	_	_	_
lose	win	v	lose%2:40:00::	win%2:40:00::	fail to get or obtain	win something through one's efforts	_	_	_	_	_	_	no	non-affixal	_	_	_	_
love	hate	v	love%2:37:00::	hate%2:37:00::	have a great affection or liking for	dislike intensely; feel antipathy or aversion towards	_	_	_	_	_	_	no	non-affixal	_	_	_	_
lower	raise	v	lower%2:38:00::	raise%2:38:00::	move something or somebody to a lower position	raise from a lower to a higher position	no	non-affixal	_	_	_	_	_	_	_	_	_	_
magnetise	demagnetise	v	magnetise%2:30:00::	demagnetise%2:30:00::	make magnetic	make nonmagnetic; take away the magnetic properties (of)	no	affixal	de-	_	indirect	REM	_	_	_	_	_	_
magnetize	demagnetize	v	magnetize%2:30:00::	demagnetize%2:30:00::	make magnetic	make nonmagnetic; take away the magnetic properties (of)	no	affixal	de-	_	indirect	REM	_	_	_	_	_	_
make	break	v	make%2:32:14::	break%2:41:09::	assure the success of	cause the failure or ruin of	_	_	_	_	_	_	no	non-affixal	_	_	_	_
make	unmake	v	make%2:36:05::	unmake%2:36:00::	create or design, often in a certain way	deprive of certain characteristics	no	affixal	un-	_	indirect	ROA	_	_	_	_	_	_
malfunction	function	v	malfunction%2:35:00::	function%2:35:00::	fail to function or function improperly	perform as expected when applied	yes	affixal	mal-	_	indirect	WRO	no	non-affixal	_	_	_	_
manage	fail	v	manage%2:41:09::	fail%2:41:08::	be successful; achieve a goal	be unable	no	non-affixal	_	_	_	_	_	_	_	_	_	_
mark_up	mark_down	v	mark_up%2:40:00::	mark_down%2:40:00::	increase the price of	reduce the price of	_	_	_	_	_	_	no	non-affixal	_	_	_	_
mask	unmask	v	mask%2:35:00::	unmask%2:35:00::	put a mask on or cover with a mask	take the mask off	no	affixal	un-	_	direct	_	_	_	_	_	_	_
materialise	dematerialise	v	materialise%2:30:00::	dematerialise%2:30:00::	come into being; become reality	become immaterial; disappear	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
materialize	dematerialize	v	materialize%2:30:00::	dematerialize%2:30:00::	come into being; become reality	become immaterial; disappear	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
militarise	demilitarise	v	militarise%2:33:00::	demilitarise%2:33:00::	lend a military character to (a country), as by building up a military force	do away with the military organization and potential of	no	affixal	de-	_	indirect	ROA	no	affixal	de-	_	indirect	ROA
militarize	demilitarize	v	militarize%2:33:00::	demilitarize%2:33:00::	lend a military character to (a country), as by building up a military force	do away with the military organization and potential of	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
mind	forget	v	mind%2:31:00::	forget%2:31:03::	keep in mind	forget to do something	_	_	_	_	_	_	no	non-affixal	_	_	_	_
minimise	maximise	v	minimise%2:30:00::	maximise%2:30:00::	make small or insignificant	make as big or large as possible	_	_	_	_	_	_	no	non-affixal	_	_	_	_
minimize	maximize	v	minimize%2:30:00::	maximize%2:30:00::	make small or insignificant	make as big or large as possible	_	_	_	_	_	_	no	non-affixal	_	_	_	_
misbehave	behave	v	misbehave%2:41:00::	behave%2:41:00::	behave badly	behave well or properly	_	_	_	_	_	_	yes	affixal	mis-	_	indirect	WRO
miss	have	v	miss%2:42:00::	have%2:42:00::	be without	have as a feature	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
mistrust	trust	v	mistrust%2:31:00::	trust%2:31:00::	regard as untrustworthy; regard with suspicion; have no faith or confidence in	have confidence or faith in	_	_	_	_	_	_	yes	affixal	mis-	_	indirect	OPP
move	stand_still	v	move%2:38:00::	stand_still%2:38:00::	move so as to change position, perform a nontranslational motion	remain in place; hold still; remain fixed or immobile	_	_	_	_	_	_	no	non-affixal	_	_	_	_
move	stay	v	move%2:38:02::	stay%2:38:00::	change residence, affiliation, or place of employment	"stay put (in a certain place); we are not moving to Cincinnati"""	no	non-affixal	_	_	_	_	_	_	_	_	_	_
move_in	move_out	v	move_in%2:38:00::	move_out%2:38:00::	move into a new house or office	move out of one's old house or office	no	non-affixal	_	_	_	_	_	_	_	_	_	_
multiply	divide	v	multiply%2:31:00::	divide%2:31:00::	combine by multiplication	perform a division	_	_	_	_	_	_	no	non-affixal	_	_	_	_
muzzle	unmuzzle	v	muzzle%2:40:00::	unmuzzle%2:40:00::	fit with a muzzle	remove the muzzle from (a dog)	_	_	_	_	_	_	no	affixal	un-	_	direct	_
mystify	demystify	v	mystify%2:30:00::	demystify%2:30:00::	make mysterious	make less mysterious or remove the mystery from	no	affixal	de-	_	indirect	REM	_	_	_	_	_	_
mythologize	demythologize	v	mythologize%2:30:00::	demythologize%2:30:00::	make into a myth	remove the mythical element from (writings)	no	affixal	de-	_	indirect	REM	_	_	_	_	_	_
nationalise	denationalise	v	nationalise%2:30:00::	denationalise%2:30:00::	put under state control or ownership	put under private control or ownership	no	affixal	de-	_	indirect	ROA	_	_	_	_	_	_
nationalize	denationalize	v	nationalize%2:30:00::	denationalize%2:30:00::	put under state control or ownership	put under private control or ownership	no	affixal	de-	_	indirect	ROA	_	_	_	_	_	_
naturalize	denaturalize	v	naturalize%2:30:01::	denaturalize%2:30:01::	make more natural or lifelike	make less natural or unnatural	no	affixal	de-	_	indirect	ROA	no	affixal	de-	_	indirect	ROA
necessitate	obviate	v	necessitate%2:42:00::	obviate%2:42:00::	require as useful, just, or proper	do away with	no	non-affixal	_	_	_	_	_	_	_	_	_	_
neglect	attend_to	v	neglect%2:31:00::	attend_to%2:31:00::	leave undone or leave out	get down to; pay attention to; take seriously	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
notice	ignore	v	notice%2:39:00::	ignore%2:39:00::	notice or perceive	fail to notice	_	_	_	_	_	_	no	non-affixal	_	_	_	_
obey	disobey	v	obey%2:41:00::	disobey%2:41:00::	be obedient to	refuse to go along with; refuse to follow; be disobedient	_	_	_	_	_	_	no	affixal	dis-	_	indirect	ROA
oblige	disoblige	v	oblige%2:32:01::	disoblige%2:32:00::	provide a service or favor for someone	ignore someone's wishes	no	affixal	dis-	_	direct	_	_	_	_	_	_	_
occidentalise	orientalise	v	occidentalise%2:30:00::	orientalise%2:30:00::	make western in character	make oriental in character	no	non-affixal	_	_	_	_	_	_	_	_	_	_
occidentalize	orientalize	v	occidentalize%2:30:00::	orientalize%2:30:00::	make western in character	make oriental in character	no	non-affixal	_	_	_	_	_	_	_	_	_	_
odorize	deodorize	v	odorize%2:39:00::	deodorize%2:39:00::	cause to smell or be smelly	eliminate the odor from	no	affixal	de-	_	indirect	REM	_	_	_	_	_	_
odourise	deodourise	v	odourise%2:39:00::	deodourise%2:39:00::	cause to smell or be smelly	eliminate the odor from	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
order	disorder	v	order%2:30:00::	disorder%2:30:00::	bring order to or into	bring disorder to	no	affixal	dis-	_	indirect	ROA	_	_	_	_	_	_
organise	disorganise	v	organise%2:41:00::	disorganise%2:41:00::	cause to be structured or ordered or operating according to some principle or idea	remove the organization from	no	affixal	dis-	_	indirect	REM	_	_	_	_	_	_
organize	disorganize	v	organize%2:41:00::	disorganize%2:41:00::	cause to be structured or ordered or operating according to some principle or idea	remove the organization from	no	affixal	dis-	_	indirect	REM	_	_	_	_	_	_
orient	disorient	v	orient%2:39:00::	disorient%2:39:00::	determine one's position with reference to another point	cause to be lost or disoriented	_	_	_	_	_	_	no	affixal	dis-	_	indirect	ROA
outbid	underbid	v	outbid%2:40:00::	underbid%2:40:01::	bid higher than others	bid lower than a competing bidder	no	affixal	under-	out-	indirect	OVA/INS	_	_	_	_	_	_
outlaw	legalize	v	outlaw%2:41:00::	legalize%2:41:00::	declare illegal; outlaw	make legal	no	non-affixal	_	_	_	_	_	_	_	_	_	_
